,brick,Cód. Filial
202,1259 - SAO JOSE,262
203,1259 - SAO JOSE,343
204,1259 - SAO JOSE,691
205,1259 - SAO JOSE,775
206,1259 - SAO JOSE,783
207,1259 - SAO JOSE,814
208,1259 - SAO JOSE,876
209,1259 - SAO JOSE,895
210,1259 - SAO JOSE,929
211,1259 - SAO JOSE,955
212,1259 - SAO JOSE,982
213,1259 - SAO JOSE,378
214,1259 - SAO JOSE,508
215,1259 - SAO JOSE,497
216,1259 - SAO JOSE,420
217,1259 - SAO JOSE,581
218,1259 - SAO JOSE,605
219,1259 - SAO JOSE,652
220,1259 - SAO JOSE,310
221,1259 - SAO JOSE,321
222,1259 - SAO JOSE,208
223,1260 - TIJUCAS,795
224,1260 - TIJUCAS,806
225,1260 - TIJUCAS,854
226,1260 - TIJUCAS,872
227,1260 - TIJUCAS,966
228,1260 - TIJUCAS,453
229,1260 - TIJUCAS,542
230,1260 - TIJUCAS,556
231,1260 - TIJUCAS,566
232,1260 - TIJUCAS,664
233,1260 - TIJUCAS,359
234,1260 - TIJUCAS,356
235,1260 - TIJUCAS,204
236,1260 - TIJUCAS,209
237,1261 - ITAJAI,71
238,1261 - ITAJAI,687
239,1261 - ITAJAI,723
240,1261 - ITAJAI,123
241,1261 - ITAJAI,706
242,1261 - ITAJAI,314
243,1261 - ITAJAI,772
244,1261 - ITAJAI,853
245,1261 - ITAJAI,905
246,1261 - ITAJAI,976
247,1261 - ITAJAI,681
248,1261 - ITAJAI,344
249,1262 - CAMBORIU,592
250,1262 - CAMBORIU,764
251,1262 - CAMBORIU,770
252,1262 - CAMBORIU,803
253,1262 - CAMBORIU,857
254,1262 - CAMBORIU,868
255,1262 - CAMBORIU,948
256,1262 - CAMBORIU,400
257,1262 - CAMBORIU,407
258,1262 - CAMBORIU,408
259,1262 - CAMBORIU,442
260,1262 - CAMBORIU,486
261,1262 - CAMBORIU,583
262,1262 - CAMBORIU,648
263,1262 - CAMBORIU,303
264,1262 - CAMBORIU,206
265,1262 - CAMBORIU,357
266,1263 - BRUSQUE,960
267,1263 - BRUSQUE,288
268,1263 - BRUSQUE,703
269,1263 - BRUSQUE,825
270,1263 - BRUSQUE,858
271,1263 - BRUSQUE,891
272,1263 - BRUSQUE,909
273,1263 - BRUSQUE,920
274,1263 - BRUSQUE,938
275,1263 - BRUSQUE,953
276,1263 - BRUSQUE,557
277,1263 - BRUSQUE,625
278,1263 - BRUSQUE,655
279,1263 - BRUSQUE,661
280,1263 - BRUSQUE,662
281,1263 - BRUSQUE,205
282,1263 - BRUSQUE,358
283,1263 - BRUSQUE,361
284,1263 - BRUSQUE,988
285,1264 - ITUPORANGA,867
286,1265 - ALFREDO WAGNER,441
287,1266 - LAGES,42
288,1266 - LAGES,754
289,1266 - LAGES,762
