2026-04-26 23:50:15 | root                      | INFO     | === Sistema de Logs Inicializado ===
2026-04-26 23:50:15 | ETL_Orquestrador          | INFO     | === Iniciando pipeline ETL Completo ===
2026-04-26 23:50:15 | ETL_Orquestrador          | INFO     | Passo 1/7: Criando tabelas...
2026-04-26 23:50:15 | ETL_Orquestrador          | INFO     | Passo 2/7: Criando comentários (documentação no banco)...
2026-04-26 23:50:15 | ETL_Orquestrador          | INFO     | Passo 3/7: Convertendo arquivos XLSX para CSV...
2026-04-26 23:50:17 | ETL_Orquestrador          | INFO     | Passo 4/7: Carregando dados raw na camada Bronze...
2026-04-26 23:50:17 | ETL_Bronze                | INFO     | Iniciando carga de filiais (Bronze). Arquivo: C:\Users\bruno_8kz8vc2\OneDrive\Documentos\GitHub\projeto-etl-iqvia-clamed\data\csv_raw\filial-brick_sample.csv
2026-04-26 23:50:17 | ETL_Bronze                | INFO     | 586 registros lidos do CSV.
2026-04-26 23:50:17 | ETL_Bronze                | INFO     | Inserindo dados de filiais...
2026-04-26 23:50:17 | ETL_Bronze                | INFO     | Sucesso! Filiais carregadas na camada Bronze.
2026-04-26 23:50:17 | ETL_Bronze                | INFO     | Processando arquivo Market Sales (Bronze): MS_12_2022_sample.csv
2026-04-26 23:50:17 | ETL_Bronze                | INFO     | Período extraído do nome do arquivo: 2022-12-01
2026-04-26 23:50:17 | ETL_Bronze                | INFO     | 9 registros lidos do CSV.
2026-04-26 23:50:17 | ETL_Bronze                | INFO     | Limpando tabela bronze.market_sales_raw (TRUNCATE)...
2026-04-26 23:50:17 | ETL_Bronze                | INFO     | Inserindo dados de Market Sales...
2026-04-26 23:50:17 | ETL_Bronze                | INFO     | Sucesso! Market sales (2022-12-01) carregado na camada Bronze.
2026-04-26 23:50:17 | ETL_Orquestrador          | INFO     | Passo 5/7: Processando dados para a camada Silver...
2026-04-26 23:50:17 | ETL_Silver_MarketSales    | INFO     | Iniciando a transformação da camada Silver (Market Sales).
2026-04-26 23:50:17 | ETL_Silver_MarketSales    | INFO     | Lendo dados da tabela bronze.market_sales_raw...
2026-04-26 23:50:17 | ETL_Silver_MarketSales    | INFO     | 9 registros encontrados. Iniciando transformações...
2026-04-26 23:50:18 | ETL_Silver_MarketSales    | INFO     | Limpando tabela silver.market_sales_clean (TRUNCATE)...
2026-04-26 23:50:18 | ETL_Silver_MarketSales    | INFO     | Inserindo dados transformados...
2026-04-26 23:50:18 | ETL_Silver_MarketSales    | INFO     | Sucesso! 9 registros processados e inseridos na silver.market_sales_clean com período.
2026-04-26 23:50:18 | ETL_Silver_Filial         | INFO     | Iniciando a transformação da camada Silver (Filiais).
2026-04-26 23:50:19 | ETL_Silver_Filial         | INFO     | Sucesso! 7032 registros inseridos na tabela silver.filial_clean.
2026-04-26 23:50:19 | ETL_Orquestrador          | INFO     | Passo 6/7: Carregando Dimensões (Gold)...
2026-04-26 23:50:19 | ETL_Gold_Regiao           | INFO     | Iniciando a carga da Dimensão Região a partir da camada Silver...
2026-04-26 23:50:19 | ETL_Gold_Regiao           | INFO     | Buscando regiões distintas na tabela silver.filial_clean...
2026-04-26 23:50:19 | ETL_Gold_Regiao           | INFO     | 156 regiões encontradas. Preparando banco de dados...
2026-04-26 23:50:19 | ETL_Gold_Regiao           | INFO     | Executando TRUNCATE na tabela gold.regiao (CASCADE)...
2026-04-26 23:50:19 | ETL_Gold_Regiao           | INFO     | Inserindo regiões na camada Gold...
2026-04-26 23:50:19 | ETL_Gold_Regiao           | INFO     | Sucesso! Dimensão Região carregada e atualizada na Gold.
2026-04-26 23:50:19 | ETL_Gold_Regiao           | INFO     | Conexão com o banco encerrada.
2026-04-26 23:50:19 | ETL_Gold_Produtos         | INFO     | Iniciando o carregamento da Dimensão Produtos (Gold)...
2026-04-26 23:50:19 | ETL_Gold_Produtos         | INFO     | Recuperando produtos distintos da camada Silver...
2026-04-26 23:50:19 | ETL_Gold_Produtos         | INFO     | 9 produtos identificados para processamento.
2026-04-26 23:50:19 | ETL_Gold_Produtos         | INFO     | Tabela Gold de Produtos populada/atualizada com sucesso!
2026-04-26 23:50:19 | ETL_Gold_Produtos         | INFO     | Conexão com o banco encerrada.
2026-04-26 23:50:19 | ETL_Gold_Bandeira         | INFO     | Iniciando o carregamento da dimensão Bandeira...
2026-04-26 23:50:19 | ETL_Gold_Bandeira         | INFO     | Dimensão Bandeira carregada/atualizada com sucesso!
2026-04-26 23:50:19 | ETL_Gold_Bandeira         | INFO     | Conexão com o banco encerrada.
2026-04-26 23:50:19 | ETL_Gold_Filial           | INFO     | Iniciando a carga da Dimensão Filial a partir da camada Silver...
2026-04-26 23:50:19 | ETL_Gold_Filial           | INFO     | 7032 registros de filiais recuperados da Silver. Iniciando inserção...
2026-04-26 23:50:21 | ETL_Gold_Filial           | INFO     | Carga finalizada com sucesso! Filiais inseridas/verificadas na Gold.
2026-04-26 23:50:21 | ETL_Gold_Filial           | INFO     | Conexão com o banco encerrada para esta tarefa.
2026-04-26 23:50:21 | ETL_Orquestrador          | INFO     | Passo 7/7: Carregando Tabela Fato (Gold)...
2026-04-26 23:50:21 | ETL_Gold_Fato_VolumeVendas | INFO     | Iniciando carga da Fato (Volume Vendas) a partir da Silver (Período Automático)...
2026-04-26 23:50:21 | ETL_Gold_Fato_VolumeVendas | INFO     | Buscando dados consolidados na camada Silver...
2026-04-26 23:50:21 | ETL_Gold_Fato_VolumeVendas | INFO     | 9 registros recuperados da Silver. Aplicando unpivot (melt)...
